TRACT2020,ALAND,AWATER,U202020010,U202020013,U202020020,U202020031,U202020033,U202020040,U202020070,U202021010,U202030020,U202030030,U202033010,U202060021,U202060022,U202060023,U202060024,U202062010,U202065010,U202065015,U202065017,U202070010,U202070030,U202070040,U202070060,U202072010,U202020050,U202081021,U202081022,U202090012,C202010020,C202010030,C202010040,C202020010,C202020020,C202020031,C202020050,C202021010,C202030010,C202033010,C202033020,C202060010,C202062010,C202070010,C202070020,C202070050,C202070055,C202072010,C202081010,C202090011,C202090012,C202090021,C202090022,C202090031,C202090032,C202090091,C202090092,C202091011,C202091012,C202092023,H202010020,H202010030,H202020010,H202020012,H202020020,H202020040,H202021010,H202030011,H202033010,H202033025,H202060010,H202062010,H202070010,H202070020,H202070030,H202070040,H202070070,H202072010,H202072020,H202081011,H202090012,H202090093,H202091012,H202091093,H202092021,SETX,FIPSCNTY,airsite_tract,airsite_name
48189950200,6306913,0,0.26355,0.29075,0.05352,-15052.0,-0.0,-59500.0,537.0,0.40288,0.69785,29.2,0.63907,0.0,0.03077,0.00525,0.84067,0.1022,0.52601,0.33621,0.50298,0.08124,0.1572,0.44671,3.04,0.10345,0.24987,0.2619,0.04881,89.377,3998.0,1276.0,1514.0,0.373,0.054,0.164,0.25,0.403,0.092,0.284,0.353,0.881,0.102,0.081,0.031,0.04,0.123,0.103,0.099,0.9597,93.60000000000001,0.9563,0.9359,0.9664,0.9461,5.0,3.0,4.0,4.0,1.0,3998.0,1276.0,0.26355,0.04389,0.05352,59500.0,0.40288,0.17868,0.30251,0.07979,0.88069,0.1022,0.08124,0.03102,0.1572,0.51446,0.89168,0.10345,0.01429,0.36285,97.0,0.844,4.0,4.0,1.0,0.0,48189,0.0,
48219950400,12691656,5302,0.21368,0.40714,0.10448,-16492.0,-0.0,-43800.0,637.0,0.44209,0.72898,32.1,0.38806,0.00089,0.0436,0.0,0.71377,0.08639,0.50313,0.18631,0.45,0.19092,0.21385,0.38333,2.6,0.11131,0.18577,0.15617,0.22901,92.879,4472.0,1680.0,2137.0,0.375,0.104,0.26,0.186,0.442,0.165,0.147,0.302,0.76,0.086,0.191,0.023,0.005,0.053,0.111,0.162,0.9909,96.48,0.9917,0.9739,0.9948,0.9767,3.0,1.0,4.0,4.0,1.0,4472.0,1680.0,0.21368,0.10595,0.10448,43800.0,0.44209,0.3125,0.17024,0.06038,0.76029,0.08639,0.19092,0.02258,0.21385,0.36239,0.91483,0.11131,0.0,0.29107,93.60000000000001,0.796,4.0,4.0,1.0,0.0,48219,0.0,
48219950300,12186639,0,0.23184,0.27081,0.05693,-26892.0,-0.02171,-98500.0,860.0,0.24557,0.74524,36.5,0.3534,0.0,0.0376,0.00917,0.51798,0.04895,0.52221,0.12847,0.43379,0.1116,0.093,0.31182,2.53,0.06454,0.23886,0.14654,0.05842,72.762,4255.0,1658.0,1828.0,0.317,0.057,0.244,0.239,0.246,0.14,0.073,0.21,0.586,0.049,0.112,0.015,0.017,0.077,0.065,0.123,0.8861,77.9,0.8891,0.8043,0.9069,0.8045,1.0,0.0,4.0,4.0,1.0,4255.0,1658.0,0.23184,0.03559,0.05693,98500.0,0.24557,0.22376,0.10977,0.08296,0.5859,0.04895,0.1116,0.01457,0.093,0.3575,0.88457,0.06454,0.0,0.12183,74.7,0.643,3.0,3.0,1.0,0.0,48219,0.0,
48219950100,214157569,0,0.13342,0.36347,0.08676,-20890.0,-0.01476,-60200.0,616.0,0.29751,0.74849,39.4,0.33728,0.02007,0.00736,0.0,0.49298,0.05689,0.48896,0.12177,0.38833,0.08953,0.17754,0.28044,2.76,0.06827,0.19398,0.20167,0.115,83.97099999999999,1495.0,542.0,659.0,0.314,0.087,0.161,0.194,0.298,0.177,0.035,0.264,0.53,0.057,0.09,0.0,0.0,0.054,0.068,0.225,0.8108,65.75,0.8097,0.6722,0.802,0.641,3.0,1.0,4.0,3.0,0.0,1495.0,542.0,0.13342,0.05904,0.08676,60200.0,0.29751,0.33579,0.10517,0.08294,0.52977,0.05689,0.08953,0.0,0.17754,0.27157,0.90744,0.06827,0.0,0.28967,80.9,0.686,4.0,4.0,1.0,0.0,48219,0.0,
48219950600,358638163,0,0.11713,0.31648,0.01074,-34403.0,-0.09363,-97100.0,814.0,0.15306,0.77569,34.0,0.28191,0.00188,0.00188,0.0,0.32268,0.01708,0.56579,0.10112,0.42877,0.19836,0.12459,0.17041,2.99,0.01311,0.23872,0.10583,0.03799,70.02199999999999,1596.0,534.0,610.0,0.279,0.011,0.174,0.239,0.153,0.127,0.073,0.323,0.34,0.017,0.198,0.0,0.002,0.032,0.013,0.133,0.5948,44.65,0.5872,0.4733,0.5667,0.4181,2.0,0.0,3.0,2.0,0.0,1596.0,534.0,0.11713,0.0412,0.01074,97100.0,0.15306,0.25094,0.09925,0.08271,0.34023,0.01708,0.19836,0.0,0.12459,0.12281,0.68525,0.01311,0.0,0.18914,40.9,0.445,2.0,2.0,1.0,0.0,48219,0.0,
48219950500,15206025,9487,0.10842,0.34582,0.08422,-25755.0,-0.03573,-147300.0,611.0,0.16876,0.7036,31.7,0.10526,0.01052,0.05998,0.00545,0.44771,0.04892,0.49523,0.05476,0.48138,0.03511,0.10428,0.23401,2.63,0.08069,0.13675,0.18304,0.06505,59.297,5135.0,1735.0,1937.0,0.181,0.084,0.131,0.137,0.169,0.144,0.025,0.235,0.549,0.049,0.035,0.111,0.101,0.021,0.081,0.154,0.805,63.94,0.8018,0.6473,0.8322,0.662,1.0,1.0,4.0,3.0,0.0,5135.0,1735.0,0.10842,0.03112,0.08422,147300.0,0.16876,0.25706,0.03573,0.06446,0.54898,0.04892,0.03511,0.11139,0.10428,0.15779,0.85493,0.08069,0.0,0.20749,59.599999999999994,0.551,3.0,3.0,1.0,0.0,48219,0.0,
48219950200,1403641792,412507,0.10081,0.31399,0.04093,-27172.0,-0.06622,-89500.0,748.0,0.15865,0.66889,35.6,0.27885,0.00207,0.01335,0.0,0.32927,0.01174,0.47939,0.09375,0.39256,0.31464,0.13346,0.20164,3.23,0.01414,0.14552,0.20943,0.08337,52.527,4343.0,1344.0,1551.0,0.206,0.041,0.167,0.146,0.159,0.131,0.06,0.3,0.358,0.012,0.315,0.0,0.0,0.068,0.014,0.128,0.5732,40.400000000000006,0.5609,0.4256,0.5809,0.4102,1.0,1.0,3.0,2.0,0.0,4343.0,1344.0,0.10081,0.0119,0.04093,89500.0,0.15865,0.26042,0.10789,0.05825,0.35805,0.01174,0.31464,0.0,0.13346,0.19457,0.82205,0.01414,0.00403,0.14658,48.699999999999996,0.488,2.0,2.0,1.0,0.0,48219,0.0,
48219950700,336202117,18823,0.10237,0.26644,0.04234,-27119.0,-0.0,-84700.0,550.0,0.21025,0.64852,39.0,0.22346,0.0,0.00533,0.00828,0.46509,0.03047,0.47337,0.06401,0.42913,0.25224,0.13731,0.15398,2.9,0.03114,0.25799,0.15995,0.09233,61.392,1690.0,578.0,670.0,0.274,0.042,0.154,0.258,0.21,0.127,0.054,0.214,0.489,0.03,0.252,0.007,0.025,0.016,0.031,0.151,0.7386,60.040000000000006,0.7298,0.6138,0.729,0.582,2.0,0.0,3.0,3.0,1.0,1690.0,578.0,0.10237,0.02249,0.04234,84700.0,0.21025,0.27336,0.0692,0.04852,0.48935,0.03047,0.25224,0.0071,0.13731,0.13468,0.84478,0.03114,0.00395,0.19896,59.3,0.549,3.0,3.0,1.0,0.0,48219,0.0,
48375014300,2043233058,30183300,0.06454,0.35724,0.01675,-36420.0,-0.0925,-207000.0,973.0,0.08271,0.67612,38.7,0.20229,0.02055,0.0,0.01308,0.17578,0.05434,0.46077,0.12789,0.47575,0.13576,0.09251,0.09061,2.78,0.02029,0.1208,0.16883,0.08145,36.469,5888.0,2119.0,2335.0,0.099,0.017,0.184,0.121,0.083,0.159,0.041,0.289,0.217,0.054,0.136,0.0,0.0,0.037,0.02,0.147,0.4269,29.38,0.4312,0.3231,0.4732,0.3251,0.0,0.0,2.0,2.0,1.0,5888.0,2119.0,0.06454,0.01793,0.01673,207000.0,0.08271,0.28693,0.08353,0.05605,0.21671,0.05434,0.13576,0.0,0.09251,0.11022,0.48051,0.02029,0.02184,0.084,39.4,0.438,2.0,2.0,1.0,0.0,48375,0.0,
48375013900,2755569,0,0.1451,0.3057,0.02567,-18238.0,-0.02147,-71800.0,938.0,0.20703,0.84304,26.6,0.6995,0.0,0.40402,0.07704,0.34395,0.08594,0.59598,0.26647,0.56812,0.0474,0.1106,0.38934,2.83,0.11917,0.22643,0.44344,0.0662,86.41799999999999,3829.0,1351.0,1519.0,0.471,0.026,0.427,0.226,0.207,0.141,0.221,0.371,0.847,0.086,0.047,0.0,0.13,0.105,0.119,0.096,0.9453,89.98,0.9411,0.9017,0.9476,0.9026,5.0,2.0,4.0,4.0,1.0,3829.0,1351.0,0.1451,0.06588,0.02567,71800.0,0.20703,0.27017,0.31014,0.10656,0.84748,0.08594,0.0474,0.0,0.1106,0.45599,0.76959,0.11917,0.0,0.12879,86.1,0.726,4.0,4.0,1.0,0.0,48375,0.0,
48375013400,43376891,8240,0.14505,0.45438,0.08277,-30736.0,-0.02391,-162500.0,906.0,0.08403,0.92766,52.8,0.36162,0.0,0.0,0.00288,0.14057,0.02949,0.54172,0.1426,0.47606,0.32932,0.09317,0.16298,2.16,0.05846,0.09618,0.22007,0.07827,79.414,2433.0,1129.0,1245.0,0.179,0.083,0.245,0.096,0.084,0.32,0.054,0.182,0.196,0.029,0.329,0.0,0.007,0.012,0.058,0.154,0.6396,45.61,0.6684,0.5051,0.6242,0.4391,2.0,2.0,3.0,2.0,0.0,2433.0,1129.0,0.14505,0.08592,0.08277,162500.0,0.08403,0.42693,0.0868,0.06617,0.19605,0.02949,0.32932,0.0,0.09317,0.1566,0.79036,0.05846,0.0,0.06112,55.900000000000006,0.528,3.0,3.0,1.0,0.0,48375,0.0,
48375015300,4200123,0,0.28851,0.19805,0.04638,-16110.0,-0.00872,-52200.0,772.0,0.34478,0.65412,29.0,0.64919,0.0,0.12893,0.0,0.40119,0.06085,0.50463,0.29759,0.41187,0.01667,0.12168,0.57773,2.5,0.12314,0.36649,0.33289,0.13967,73.231,4863.0,1949.0,2219.0,0.48,0.046,0.285,0.366,0.345,0.069,0.169,0.302,0.584,0.061,0.017,0.0,0.005,0.086,0.123,0.169,0.8994,82.33,0.9042,0.853,0.9248,0.8566,4.0,2.0,4.0,4.0,1.0,4863.0,1949.0,0.28851,0.02617,0.04527,52200.0,0.34478,0.12827,0.24782,0.08081,0.58421,0.06085,0.01667,0.0,0.12168,0.60786,0.96936,0.12314,0.01096,0.38789,91.2,0.769,4.0,4.0,1.0,0.0,48375,0.0,
48375011800,1858149,0,0.1151,0.1754,0.03201,-24680.0,-0.00569,-106400.0,986.0,0.12882,0.73382,28.0,0.46573,0.00561,0.04791,0.0215,0.423,0.06235,0.50269,0.15774,0.42583,0.00735,0.14006,0.58485,2.41,0.0262,0.18683,0.17873,0.06747,44.923,4279.0,1756.0,2042.0,0.382,0.032,0.233,0.187,0.129,0.116,0.043,0.276,0.543,0.062,0.007,0.011,0.166,0.046,0.026,0.089,0.7611,61.18,0.7507,0.6173,0.7881,0.6366,1.0,0.0,4.0,3.0,0.0,4279.0,1756.0,0.1151,0.01538,0.03146,106400.0,0.12882,0.18109,0.13155,0.11545,0.54288,0.06235,0.00735,0.01122,0.14006,0.60104,0.86827,0.0262,0.0,0.06663,62.7,0.571,3.0,3.0,1.0,0.0,48375,0.0,
48453001912,13484912,1187454,0.08176,0.24348,0.05952,-91643.0,-0.34965,-1279700.0,1884.0,0.01431,0.72307,47.6,0.17778,0.0,0.03653,0.07683,0.07283,0.00836,0.53382,0.07947,0.48336,0.0,0.09494,0.34075,2.58,0.00318,0.06662,0.06929,0.0,2.828,4243.0,1573.0,1738.0,0.091,0.06,0.153,0.067,0.014,0.176,0.056,0.212,0.224,0.008,0.0,0.044,0.189,0.038,0.003,0.048,0.3144,21.44,0.313,0.2389,0.3251,0.22,0.0,1.0,2.0,1.0,0.0,4243.0,1573.0,0.08176,0.00445,0.05952,1279700.0,0.01431,0.24793,0.05594,0.01343,0.22437,0.00836,0.0,0.04384,0.09494,0.26941,0.72497,0.00318,0.00821,0.0,16.400000000000002,0.3,1.0,1.0,1.0,0.0,48453,0.0,
48113015900,5703840,4003497,0.19219,0.21445,0.01869,-18563.0,-0.01266,-87100.0,687.0,0.29161,0.57325,32.9,0.4043,0.0,0.07588,0.01994,0.68734,0.1469,0.4586,0.21072,0.37871,0.0,0.02398,0.7312,2.69,0.05808,0.25062,0.18599,0.16695,53.757999999999996,3611.0,1343.0,1376.0,0.338,0.019,0.465,0.251,0.292,0.084,0.133,0.297,0.814,0.147,0.0,0.0,0.056,0.028,0.058,0.135,0.7942,68.55,0.7673,0.6649,0.7935,0.6774,4.0,1.0,4.0,3.0,0.0,3611.0,1343.0,0.19219,0.01266,0.01869,87100.0,0.29161,0.16307,0.15413,0.03102,0.81446,0.1469,0.0,0.0,0.02398,0.59706,0.91788,0.05808,0.0,0.25689,51.1,0.501,3.0,3.0,1.0,0.0,48113,0.0,
48113012604,2510513,43527,0.27345,0.14149,0.01063,-21728.0,-0.0,-191700.0,940.0,0.25387,0.66698,26.7,0.52673,0.0,0.29484,0.01814,0.46866,0.17657,0.48978,0.20909,0.39754,0.0,0.07548,0.86553,2.73,0.15146,0.28103,0.33845,0.07265,50.827999999999996,7387.0,2707.0,2928.0,0.39,0.011,0.421,0.281,0.254,0.061,0.103,0.312,0.789,0.177,0.0,0.0,0.687,0.156,0.151,0.073,0.8422,75.99000000000001,0.8261,0.7597,0.8641,0.7838,5.0,3.0,4.0,4.0,1.0,7387.0,2707.0,0.27345,0.0,0.01063,191700.0,0.25387,0.10417,0.19653,0.11601,0.78895,0.17657,0.0,0.0,0.07548,0.88317,0.95628,0.15146,0.05193,0.27484,86.4,0.727,4.0,4.0,1.0,0.0,48113,0.0,
48113013010,1404466,0,0.11808,0.06699,0.04258,-25107.0,-0.01765,-256800.0,985.0,0.1724,0.62964,32.0,0.65912,0.00155,0.3288,0.02233,0.47155,0.19636,0.48048,0.2142,0.41411,0.0,0.05281,0.93422,2.07,0.05656,0.30627,0.12423,0.12147,30.198000000000004,5149.0,2493.0,2632.0,0.332,0.043,0.517,0.306,0.172,0.045,0.142,0.22,0.824,0.196,0.0,0.0,0.704,0.075,0.057,0.033,0.7805,66.81,0.7517,0.6453,0.7932,0.6763,5.0,2.0,4.0,3.0,0.0,5149.0,2493.0,0.11808,0.00281,0.04258,256800.0,0.1724,0.0714,0.19856,0.1039,0.82424,0.19636,0.0,0.0,0.05281,0.93979,0.91945,0.05656,0.02679,0.13959,82.8,0.702,4.0,4.0,1.0,0.0,48113,0.0,
48113013622,1249629,0,0.11177,0.13337,0.0366,-53606.0,-0.05312,-350345.0,1233.0,0.03527,0.7243,36.8,0.18824,0.0,0.16471,0.02775,0.25151,0.05609,0.53682,0.01617,0.51266,0.0,0.13096,0.7679,1.57,0.04619,0.17743,0.09524,0.01013,11.722000000000001,2811.0,1732.0,1993.0,0.153,0.037,0.308,0.177,0.035,0.145,0.01,0.075,0.488,0.056,0.0,0.036,0.723,0.008,0.046,0.084,0.4647,39.2,0.4231,0.3839,0.4771,0.4017,1.0,2.0,2.0,2.0,1.0,2811.0,1732.0,0.11177,0.01155,0.0366,-1.0,0.03527,0.1403,0.01848,0.04233,0.48808,0.05609,0.0,0.03557,0.13096,0.76171,0.96287,0.04619,0.00929,0.05196,46.400000000000006,0.475,2.0,2.0,1.0,0.0,48113,0.0,
48113013621,910824,686,0.03541,0.13869,0.10398,-32198.0,-0.01481,-133200.0,1162.0,0.11755,0.58875,32.1,0.77778,0.00448,0.28911,0.0372,0.26804,0.13214,0.47019,0.17953,0.53449,0.00311,0.13476,0.90619,2.0,0.06688,0.25011,0.17751,0.02354,15.296999999999999,4462.0,2228.0,2575.0,0.098,0.104,0.342,0.25,0.118,0.084,0.069,0.094,0.647,0.132,0.003,0.0,0.345,0.035,0.067,0.077,0.667,55.25,0.6308,0.5403,0.6962,0.5763,2.0,0.0,3.0,3.0,1.0,4462.0,2228.0,0.03541,0.00583,0.10398,133200.0,0.11755,0.10637,0.10368,0.03496,0.64702,0.13214,0.00311,0.0,0.13476,0.92761,0.95223,0.06688,0.05583,0.11759,68.8,0.605,3.0,3.0,1.0,0.0,48113,0.0,
48113014135,1696499,27228,0.03417,0.06553,0.01509,-54183.0,-0.30286,-441300.0,1462.0,0.01057,0.63853,38.6,0.31827,0.01871,0.12856,0.22132,0.11412,0.01631,0.53641,0.16795,0.47356,0.0,0.04219,0.45374,2.71,0.00606,0.06367,0.06973,0.01456,6.286,4916.0,1816.0,1896.0,0.053,0.015,0.203,0.064,0.011,0.05,0.161,0.328,0.511,0.016,0.0,0.0,0.215,0.006,0.006,0.033,0.173,12.740000000000002,0.1354,0.1145,0.1897,0.1387,2.0,1.0,1.0,1.0,1.0,4916.0,1816.0,0.03417,0.00385,0.01509,441300.0,0.01057,0.09086,0.18227,0.05187,0.51139,0.01631,0.0,0.0,0.04219,0.40073,0.96255,0.00606,0.0,0.03634,11.1,0.258,1.0,1.0,1.0,0.0,48113,0.0,
48113014134,2372406,225379,0.04918,0.09266,0.05321,-56852.0,-0.3267,-372100.0,2204.0,0.01691,0.6199,38.4,0.10407,0.01292,0.01632,0.41455,0.11854,0.0261,0.50544,0.08648,0.45317,0.0,0.01886,0.19904,3.03,0.0,0.02199,0.04371,0.01606,5.685,4412.0,1457.0,1485.0,0.075,0.053,0.151,0.022,0.017,0.044,0.03,0.275,0.592,0.026,0.0,0.0,0.009,0.03,0.0,0.054,0.0917,6.529999999999999,0.0609,0.0489,0.0947,0.0672,0.0,0.0,1.0,1.0,1.0,4412.0,1457.0,0.04918,0.00549,0.05321,372100.0,0.01691,0.08511,0.04736,0.07094,0.59248,0.0261,0.0,0.0,0.01886,0.2049,0.72458,0.0,0.00633,0.01304,10.4,0.251,1.0,1.0,1.0,0.0,48113,0.0,
48113016626,3362239,0,0.16047,0.18919,0.11263,-21792.0,-0.0,-132700.0,1331.0,0.17018,0.62654,32.8,0.43836,0.0,0.53384,0.01385,0.2553,0.04962,0.48961,0.20237,0.55429,0.0,0.08061,0.49967,2.89,0.07779,0.151,0.20575,0.07536,35.766,4477.0,1517.0,1650.0,0.246,0.113,0.415,0.151,0.17,0.082,0.085,0.324,0.857,0.05,0.0,0.022,0.153,0.064,0.078,0.155,0.9353,83.67999999999999,0.9295,0.8342,0.9417,0.8442,2.0,1.0,4.0,4.0,1.0,4477.0,1517.0,0.16047,0.00593,0.11263,132700.0,0.17018,0.14239,0.16875,0.05472,0.8566,0.04962,0.0,0.02211,0.08061,0.50777,0.87818,0.07779,0.0,0.03823,58.8,0.546,3.0,3.0,1.0,0.0,48113,0.0,
48113016621,4660271,7618,0.11506,0.18596,0.08084,-37092.0,-0.09068,-157200.0,1411.0,0.20899,0.77757,37.6,0.5445,0.0,0.58153,0.0,0.31697,0.06104,0.62129,0.24898,0.57283,0.25846,0.06915,0.23463,2.8,0.01025,0.17571,0.09855,0.05771,66.212,5458.0,1952.0,2097.0,0.188,0.081,0.294,0.176,0.209,0.099,0.15,0.33,0.929,0.061,0.258,0.0,0.0,0.023,0.01,0.145,0.7882,66.19,0.751,0.6198,0.8174,0.6891,4.0,1.0,4.0,3.0,0.0,5458.0,1952.0,0.11506,0.01537,0.08084,157200.0,0.20899,0.1916,0.21311,0.05753,0.92873,0.06104,0.25846,0.0,0.06915,0.2642,0.58894,0.01025,0.00674,0.09119,63.6,0.577,3.0,3.0,1.0,0.0,48113,0.0,
48113016623,14892228,20662,0.12817,0.18794,0.07723,-29074.0,-0.07059,-205800.0,1236.0,0.09152,0.67566,29.6,0.40777,0.0,0.63381,0.00542,0.1995,0.03375,0.52537,0.16269,0.48889,0.12511,0.04081,0.13838,3.36,0.00982,0.06909,0.10938,0.05368,36.234,7193.0,2139.0,2230.0,0.195,0.077,0.245,0.069,0.092,0.061,0.133,0.321,0.888,0.034,0.125,0.0,0.0,0.05,0.01,0.062,0.5704,42.6,0.498,0.3676,0.6131,0.466,2.0,0.0,3.0,2.0,0.0,7193.0,2139.0,0.12817,0.00701,0.07723,205800.0,0.09152,0.08836,0.19635,0.08953,0.88753,0.03375,0.12511,0.0,0.04081,0.18226,0.39238,0.00982,0.00234,0.04769,46.400000000000006,0.475,2.0,2.0,1.0,0.0,48113,0.0,
48113018142,4085086,4938473,0.04358,0.21061,0.04898,-28747.0,-0.02696,-193400.0,1518.0,0.13493,0.69287,35.7,0.24641,0.0,0.14578,0.16265,0.21556,0.04151,0.4773,0.07751,0.5135,0.0,0.03102,0.20809,3.24,0.03033,0.20623,0.1525,0.071,42.945,3855.0,1187.0,1225.0,0.132,0.049,0.256,0.206,0.135,0.097,0.016,0.279,0.614,0.042,0.0,0.002,0.01,0.064,0.03,0.117,0.567,46.989999999999995,0.5213,0.4514,0.5507,0.4534,1.0,0.0,3.0,2.0,0.0,3855.0,1187.0,0.04358,0.0,0.04898,193400.0,0.13493,0.1567,0.1011,0.11881,0.61401,0.04151,0.0,0.00182,0.03102,0.22973,0.74041,0.03033,0.0,0.06234,30.7,0.389,2.0,2.0,1.0,0.0,48113,0.0,
48113018141,1916335,4438452,0.14837,0.15786,0.06517,-23491.0,-0.01367,-101300.0,1039.0,0.14455,0.61852,34.0,0.6416,0.00145,0.26223,0.00116,0.22981,0.00737,0.47699,0.16594,0.43083,0.0,0.13074,0.82784,2.15,0.05966,0.23984,0.18301,0.07081,24.982,3455.0,1609.0,1851.0,0.287,0.065,0.461,0.24,0.145,0.084,0.103,0.238,0.588,0.007,0.0,0.0,0.587,0.076,0.06,0.162,0.7975,64.82,0.7901,0.6524,0.8054,0.6497,3.0,2.0,4.0,3.0,0.0,3455.0,1609.0,0.14837,0.04475,0.06481,101300.0,0.14455,0.14792,0.15911,0.05789,0.58842,0.00737,0.0,0.0,0.13074,0.86252,0.91248,0.05966,0.00222,0.18024,77.60000000000001,0.663,4.0,4.0,1.0,0.0,48113,0.0,
48113018137,2508326,1945915,0.06763,0.20523,0.02314,-31510.0,-0.10675,-241400.0,1036.0,0.08156,0.73254,33.7,0.3354,0.00198,0.18182,0.12451,0.24286,0.06005,0.5516,0.18664,0.50622,0.0,0.11138,0.3416,3.13,0.01722,0.10386,0.2228,0.05299,42.037,4554.0,1452.0,1634.0,0.121,0.023,0.335,0.104,0.082,0.095,0.122,0.287,0.584,0.06,0.0,0.003,0.158,0.017,0.017,0.062,0.5378,40.589999999999996,0.4909,0.3899,0.5343,0.4023,0.0,0.0,3.0,2.0,0.0,4554.0,1452.0,0.06763,0.00758,0.02314,241400.0,0.08156,0.18457,0.14876,0.08586,0.58388,0.06005,0.0,0.00329,0.11138,0.27892,0.68421,0.01722,0.01839,0.00895,48.6,0.487,2.0,2.0,1.0,0.0,48113,0.0,
48113018138,2601553,0,0.21583,0.20432,0.06428,-20698.0,-0.01211,-234600.0,1089.0,0.12641,0.70077,28.0,0.57784,0.00122,0.34723,0.11676,0.18308,0.02212,0.51546,0.29226,0.57023,0.0,0.07456,0.85519,2.59,0.07267,0.15185,0.15588,0.05945,32.938,4916.0,1899.0,2052.0,0.34,0.064,0.484,0.152,0.126,0.086,0.207,0.298,0.68,0.022,0.0,0.0,0.473,0.054,0.073,0.173,0.8695,72.52,0.8647,0.7291,0.8811,0.7332,3.0,3.0,4.0,3.0,0.0,4916.0,1899.0,0.21583,0.00632,0.06401,234600.0,0.12641,0.11006,0.23065,0.09886,0.67982,0.02212,0.0,0.0,0.07456,0.83015,0.7885,0.07267,0.03258,0.0811,78.10000000000001,0.667,4.0,4.0,1.0,0.0,48113,0.0,
48113018140,5945639,483372,0.03766,0.27389,0.02563,-36379.0,-0.08321,-223800.0,1108.0,0.10033,0.66475,40.4,0.13542,0.00118,0.19417,0.11533,0.29847,0.05395,0.50441,0.10366,0.46833,0.0,0.0,0.11507,3.23,0.02235,0.15416,0.18062,0.02899,40.161,6798.0,2103.0,2103.0,0.111,0.026,0.159,0.154,0.1,0.12,0.041,0.218,0.637,0.054,0.0,0.0,0.083,0.019,0.022,0.121,0.3478,24.65,0.2896,0.2179,0.3884,0.2731,0.0,0.0,2.0,1.0,0.0,6798.0,2103.0,0.03766,0.0,0.02563,223800.0,0.10033,0.18592,0.04945,0.04031,0.63739,0.05395,0.0,0.0,0.0,0.07487,0.62767,0.02235,0.01794,0.03186,13.600000000000001,0.279,1.0,1.0,1.0,0.0,48113,0.0,
48099010101,750370108,11061557,0.08149,0.38583,0.04145,-27860.0,-0.03396,-111500.0,627.0,0.1109,0.80949,39.0,0.3246,0.01238,0.00325,0.00264,0.14851,0.00465,0.55265,0.12471,0.41428,0.15071,0.16151,0.21956,2.89,0.05738,0.1306,0.13826,0.11111,71.297,4929.0,1708.0,2037.0,0.157,0.041,0.149,0.131,0.111,0.174,0.032,0.295,0.29,0.005,0.151,0.0,0.0,0.081,0.057,0.14,0.5318,37.63,0.5287,0.4041,0.557,0.3937,0.0,0.0,3.0,2.0,0.0,4929.0,1708.0,0.08149,0.06733,0.04103,111500.0,0.1109,0.34895,0.13056,0.08318,0.28951,0.00465,0.15071,0.0,0.16151,0.23453,0.77614,0.05738,0.00202,0.13349,72.0,0.625,3.0,3.0,1.0,0.0,48099,0.0,
48099010300,72506157,116989,0.08402,0.44578,0.10166,-17639.0,-0.0241,-136500.0,663.0,0.17742,0.87506,40.2,0.43357,0.0,0.05369,0.01505,0.24486,0.02163,0.64074,0.16064,0.54938,0.04977,0.24887,0.26707,2.89,0.06827,0.0727,0.18313,0.07407,90.623,1993.0,498.0,663.0,0.221,0.102,0.261,0.073,0.177,0.162,0.062,0.192,0.394,0.022,0.05,0.278,0.021,0.02,0.068,0.223,0.832,65.34,0.8479,0.6914,0.7891,0.6019,2.0,2.0,4.0,3.0,0.0,1993.0,498.0,0.08402,0.0261,0.10055,136500.0,0.17742,0.33333,0.1245,0.07225,0.39388,0.02163,0.04977,0.27797,0.24887,0.24044,0.83861,0.06827,0.0,0.13454,73.5,0.636,3.0,3.0,1.0,0.0,48099,0.0,
48099010102,978627148,225910,0.05954,0.41334,0.04695,-41098.0,-0.06297,-157000.0,502.0,0.09141,0.80232,46.8,0.35714,0.00155,0.00103,0.0067,0.04304,0.01647,0.54381,0.08978,0.47735,0.1566,0.1427,0.16521,2.42,0.03117,0.11246,0.18177,0.04473,58.711,3880.0,1604.0,1871.0,0.171,0.047,0.097,0.112,0.091,0.229,0.045,0.223,0.086,0.016,0.157,0.0,0.0,0.009,0.031,0.174,0.4073,26.479999999999997,0.448,0.3061,0.4153,0.267,0.0,1.0,2.0,2.0,1.0,3880.0,1604.0,0.05954,0.01559,0.04665,157000.0,0.09141,0.37905,0.09352,0.0299,0.08608,0.01647,0.1566,0.0,0.1427,0.13608,0.70657,0.03117,0.0,0.20823,30.9,0.39,2.0,2.0,1.0,0.0,48099,0.0,
48099010501,4341027,0,0.17366,0.01961,0.27937,-13728.0,-0.0,-120700.0,1168.0,0.04476,0.69086,22.9,0.07713,0.01237,0.12043,0.11344,0.20591,0.0,0.50376,0.06318,0.51087,0.0,0.63192,0.94553,4.05,0.01961,0.05364,0.08333,0.0942,22.095000000000002,1860.0,459.0,1247.0,0.405,0.279,0.503,0.054,0.045,0.005,0.044,0.448,0.498,0.0,0.0,0.0,0.0,0.0,0.02,0.061,0.234,20.04,0.1924,0.1894,0.1435,0.1298,3.0,3.0,1.0,1.0,1.0,1860.0,459.0,0.17366,0.0,0.15805,-1.0,0.04476,0.01961,0.061,0.18226,0.49785,0.0,0.0,0.0,0.63192,0.95753,0.88212,0.01961,0.0,0.14161,43.4,0.459,2.0,2.0,1.0,0.0,48099,0.0,
